read_code,read_term
1788.,Asthma trigger - cold air
1789.,Asthma trigger - respiratory infection
178A.,Asthma trigger - airborne dust
178B.,Asthma trigger - exercise
17Z..,Respiratory symptoms NOS
17Z1.,No respiratory symptoms
17ZZ.,Respiratory symptom NOS
1I70.,Chronic obstructive pulmonary disease excluded by spirometry
1J7..,Suspected respiratory disease
1J70.,Suspected asthma
1J71.,Suspected chronic obstructive pulmonary disease
1O2..,Asthma confirmed
21262,Asthma resolved
23...,Examn. of respiratory system
2315.,Resp. system examined - NAD
2324.,O/E - respiratory distress
2326.,O/E - expiratory wheeze
2327.,O/E - accessory resp.m's.used
232A.,O/E - hyperventilating
232Z.,O/E - type of respiration NOS
2331.,O/E - chest expansion normal
2332.,O/E - chest expansion reduced
235..,O/E - rate of respiration
2362.,O/E - shallow breathing
23A1.,O/E - percussion note normal
23A2.,O/E - chest PN hyperresonant
23A4.,O/E - percussion note dull
23B..,O/E - breath sounds
23B1.,O/E - breath sounds normal
23B6.,O/E - breath sounds abnormal
23D..,O/E - adventitious sounds
23D2.,O/E - rhonchi present
23D3.,O/E - coarse crepitations
23D4.,O/E - fine crepitations
23D5.,O/E - pleural friction rub
23DZ.,O/E - adventitious sounds NOS
23E5.,O/E - fibrosis of lung present
23G..,Chest clear
23Z..,O/E - resp. examination NOS
337..,Lung function testing
3371.,Lung function testing done
3372.,Lung function testing not done
3373.,Lung function testing normal
3374.,Lung function testing abnormal
3375.,Lung function mildly obstruct.
3376.,Lung function signific. obstr.
3377.,Lung function restrictive
337Z.,Lung function test NOS
338..,Lung volume testing
3381.,Lung volume test done
3382.,Lung volume test not done
3383.,Lung volume test normal
3384.,Lung volume test abnormal
3385.,Lung tidal volume
3386.,Lung vital capacity
3387.,Lung residual volume
3388.,Lung total capacity
338Z.,Lung volume testing NOS
339..,Respiratory flow rates
3391.,Resp. flow rate measured
3392.,Resp. flow rate not measured
3393.,Resp. flow rate normal
3394.,Resp. flow rate abnormal
3395.,Peak exp. flow rate: PEFR/PFR
3396.,Forced vital capacity - FVC
33960,FVC - forced vital capacity normal
33961,FVC - forced vital capacity abnormal
33962,Percentage of predicted forced vital capacity
3397.,Forced expiratory volume - FEV
33970,FEV normal
33971,Forced expired volume in 1 second percentage change
33972,FEV1 after change of bronchodilator
3398.,FEV1/FVC ratio normal
3399.,FEV1/FVC ratio abnormal
339A.,PFR - before bronchodilation
339B.,PFR - after bronchodilation
339C.,PFR - expected
339D.,PFR - best ever
339E.,PFR >80% of predicted
339F.,PFR 60-80% of predicted
339G.,PFR <60% of predicted
339H.,Predicted peak flow
339I.,Expected peak flow rate x 50%
339J.,Optimal peak flow rate
339K.,Expected peak flow rate x 30%
339L.,Expected peak flow rate x 80%
339M.,FEV1/FVC ratio
339N.,Expected FEV1/FVC ratio
339O.,Forced expired volume in 1 second
339O0,Forced expired volume in 1 second reversibility
339O1,Forced expired volume in one second/vital capacity ratio
339P.,Expected FEV1
339Q.,Expected FVC
339R.,FEV1/FVC percent
339S.,Percent predicted FEV1
339S0,Percentage predicted FEV1 after bronchodilation
339T.,FEV1/FVC > 70% of predicted
339U.,FEV1/FVC < 70% of predicted
339V.,Recorded/predicted PEFR ratio
339W.,Worst peak flow rate
339X.,Percentage of best ever PEFR
339Y.,Percentage of PEFR variability
339Z.,Respiratory flow rates NOS
339a.,FEV1 before bronchodilation
339b.,FEV1 after bronchodilation
339c.,PEFR pre steroids
339d.,PEFR post steroids
339e.,FEV1 pre steroids
339f.,FEV1 post steroids
339g.,Serial peak expirat flow rate
339h.,FVC after bronchodilation
339h1,Percentage of predicted FVC after bronchodilation
339i.,FVC/Expected FVC percent
339j.,FEV1/FVC ratio pre steroids
339k.,FEV1/FVC ratio post steroids
339l.,FEV1/FVC ratio before bronchodilator
339m.,FEV1/FVC ratio after bronchodilator
339n.,Serial PEFR abnormal
339o.,PEFR using EN 13826 device
339p.,Predict PEFR using EN13826 std
339q.,Forced expiratory flow rate between 25+75% of vital capacity
339r.,FEV1/VC percent
339t.,Percentage of predicted vital capacity
339u.,Peak inspiratory flow rate
33G..,Spirometry reversibility
33G0.,Spirometry reversibility negative
33G1.,Spirometry reversibility positive
33H..,Salbutamol reversibility
33H0.,Negative reversibility test to salbutamol
33H1.,Positive reversibility test to salbutamol
33I..,Ipratropium reversibility
33I0.,Negative reversibility test to ipratropium bromide
33I1.,Positive reversibility test to ipratropium bromide
33J..,Combined reversibility
33J0.,Neg reversibil test to combinat of salbutamol + ipratrop br
33J1.,Positive reversibility test to a combination of salbutamol and ipratropium bromide
33K..,Steroid reversibility
33K0.,Negative reversibility test to corticosteroid
33K1.,Positive reversibility test to corticosteroids
33L..,Shuttle walking test
388t.,Royal College of Physicians asthma assessment
388t0,Royal College Physician asthma assessment 3 question score
38DL.,Asthma control test
38DT.,Asthma control questionnaire
38DV.,Mini asthma quality of life questionnaire
3C...,Exhaled nitric oxide test
4E...,Sputum examination
4E11.,Sputum sent for examination
4E23.,Sputum: mucopurulent
4E28.,Yellow sputum
4E29.,Green sputum
4E2A.,Sputum appearance
4E3..,Sputum microscopy
4E3Z.,Sputum microscopy NOS
4I1E.,Respiratory microscopy, culture and sensitivities
4JRC.,Atypical pneumonia screening test
4JUK.,Mycoplasma pneumoniae detected
535..,Standard chest X-ray
5351.,Standard chest X-ray requested
5352.,Standard chest X-ray normal
5353.,Standard chest X-ray abnormal
535Z.,Standard chest X-ray NOS
5882.,Spirometry
65VA.,Notification of whooping cough
663..,Respiratory disease monitoring
6631.,Initial resp. assessment
6632.,Follow-up resp. assessment
6634.,Intermittent drugs used more
6635.,Increasing exercise wheeze
6636.,Inhaler technique shown
6637.,Inhaler technique observed
6638.,Home nebuliser
6639.,Home oxygen supply
663A.,Resp. drug side effects
663B.,Resp. treatment changed
663C.,Resp.dis.treatment started
663D.,Resp.dis.treatment stopped
663E.,Home oxygen supply stopped
663H.,Inhaler technique - good
663I.,Inhaler technique - poor
663J.,Airways obstruction reversible
663K.,Airways obstructn irreversible
663L.,Bronchodilators used more than once daily
663M.,Bronchodilators used a maximum of once daily
663N.,Asthma disturbing sleep
663N0,Asthma causing night waking
663N1,Asthma disturbs sleep weekly
663N2,Asthma disturbs sleep frequently
663O.,Asthma not disturbing sleep
663O0,Asthma never disturbs sleep
663P.,Asthma limiting activities
663P0,Asthma limits activities 1 to 2 times per month
663P1,Asthma limits activities 1 to 2 times per week
663P2,Asthma limits activities most days
663Q.,Asthma not limiting activities
663R.,Service of nebuliser
663S.,Peak flow meter at home
663T.,No peak flow meter at home
663U.,Asthma management plan given
663V.,Asthma severity
663V0,Occasional asthma
663V1,Mild asthma
663V2,Moderate asthma
663V3,Severe asthma
663W.,Asthma prophylactic medication used
663X.,Irritable airways
663Y.,Steroid dose inhaled daily
663Z.,Resp. disease monitoring NOS
663a.,Oral steroids used since last appointment
663b.,Home nebuliser used since last appointment
663c.,Nebulisation since last appointment
663d.,Emergency asthma admission since last appointment
663e.,Asthma restricts exercise
663e0,Asthma sometimes restricts exercise
663e1,Asthma severely restricts exercise
663f.,Asthma never restricts exercise
663g.,Inhaled steroids use
663g0,Not using inhaled steroids
663g1,Using inhaled steroids - normal dose
663g2,Using inhaled steroids - high dose
663g3,Increases inhaled steroids appropriately
663h.,Asthma - currently dormant
663j.,Asthma - currently active
663k.,Reversibility trial by steroids
663l.,Spacer device in use
663m.,Asthma accident and emergency attendance since last visit
663n.,Asthma treatment compliance satisfactory
663p.,Asthma treatment compliance unsatisfactory
663q.,Asthma daytime symptoms
663r.,Asthma causes night symptoms 1 to 2 times per month
663s.,Asthma never causes daytime symptoms
663t.,Asthma causes daytime symptoms 1 to 2 times per month
663u.,Asthma causes daytime symptoms 1 to 2 times per week
663v.,Asthma causes daytime symptoms most days
663w.,Asthma limits walking up hills or stairs
663x.,Asthma limits walking on the flat
663y.,Number of asthma exacerbations in past year
663z.,Number of times bronchodilator used in one week
66Y..,Other respiratory disease monitoring
66Y0.,Number of times bronchodilator used in 24 hours
66Y3.,Peak expiratory flow rate - technique good
66Y4.,Inhaler technique - moderate
66Y5.,Change in asthma management plan
66Y9.,Step up change in asthma management plan
66YA.,Step down change in asthma management plan
66YB.,Chronic obstructive pulmonary disease monitoring
66YB0,Chronic obstructive pulmonary disease 3 monthly review
66YB1,Chronic obstructive pulmonary disease 6 monthly review
66YC.,Absent from work or school due to asthma
66YE.,Asthma monitoring due
66YF.,Nebulizer technique good
66YI.,COPD self-management plan given
66YJ.,Asthma annual review
66YK.,Asthma follow-up
66YL.,Chronic obstructive pulmonary disease follow-up
66YM.,Chronic obstructive pulmonary disease annual review
66YP.,Asthma night-time symptoms
66YQ.,Asthma monitoring by nurse
66YR.,Asthma monitoring by doctor
66YZ.,Does not have asthma management plan
66Yk.,Home oxygen supply - concentrator
66Yp.,Asthma review using Roy Colleg of Physicians three questions
66Yq.,Asthma causes night time symptoms 1 to 2 times per week
66Yr.,Asthma causes symptoms most nights
66Ys.,Asthma never causes night symptoms
66Yz0,Asthma management plan declined
679J.,Health education - asthma
679J0,Health education - asthma self management
679J1,Health education - structured asthma discussion
679J2,Health education - structured patient focused asthma discuss
68C..,Respiratory disease screen
68C1.,Screening chest X-ray
68C2.,Chr.obst. pulm. dis. screen
68C3.,Asthma screening
68CZ.,Resp. disease screen NOS
68M..,Spirometry screening
745C0,Measure peak expirat flow rate
745C1,Spirometry
745D4,Post bronchodilator spirometry
7L1Q.,Oxygen therapy
7P042,Plain x-ray of chest
876..,Respiratory medication
8761.,Mist therapy
8762.,Inhalation therapy
8763.,Laryngeal intubation inhalat.
8764.,Nebuliser therapy
8765.,Trial using nebuliser
876Z.,Respiratory medication NOS
877..,Oxygen enrichment therapy
8771.,Oxygen therapy
8772.,Catalytic oxygen therapy
8773.,Hyperbaric oxygen therapy
8774.,Oxygenator therapy
8775.,High concentration oxygen therapy
877Z.,Oxygen enrichment therapy NOS
878..,Atmospheric control
8781.,Mountain resort sanatorium
8782.,Antigen-free surroundings
8791.,Further asthma - drug prevent.
8792.,Physio.-prevent.-pulm.complic.
8793.,Asthma control step 0
8794.,Asthma control step 1
8795.,Asthma control step 2
8796.,Asthma control step 3
8797.,Asthma control step 4
8798.,Asthma control step 5
879Z.,Other resp. procedures NOS
87Z..,Respiratory procedures NOS
8A4..,Respiratory monitoring
8A41.,Respiration monitoring
8A44.,Pulse oximetry monitoring
8A4Z.,Respiratory monitoring NOS
8B3d.,Good compliance with inhaler
8B3e.,Poor compliance with inhaler
8B3j.,Asthma medication review
8BP8.,Antibiotic therapy for acute pulmonary exacerbation
8CE2.,Asthma leaflet given
8CE6.,Chronic obstructive pulmonary disease leaflet given
8CMA0,Patient has a written asthma personal action plan
8FA..,Pulmonary rehabilitation
8FA2.,Pulmonary rehabilitation programme completed
8H2P.,Emergency admission, asthma
8H3P.,Non-urgent respiratory admission
8H4C.,Referred to chest physician
8H4g.,Referral to respiratory physician
8H7u.,Referral to pulmonary rehabilitation
8HHJ.,Referral to respiratory nurse specialist
8HHx.,Referred for assessment of need for oxygen therapy
8HKB.,Chest medicine D.V. requested
8HMB.,Listed for Chest Med admission
8HR4.,Refer for lung function test
8HRC.,Referral for spirometry
8HTG.,Referred to acute chest pain clinic
8HVR.,Private referral to chest physician
8Hk3.,Refer to community respiratory team
8IA9.,Pulmonary rehabilitation declined
9N1b.,Seen in chest clinic
9N1d.,Seen in asthma clinic
9N2g.,Seen by respiratory physician
9Nk7.,Seen in respiratory clinic
9OJ..,Asthma monitoring admin.
9OJ1.,Attends asthma monitoring
9OJA.,Asthma monitoring check done
9OJZ.,Asthma monitoring admin.NOS
9Q21.,Patient in asthma study
9h5..,Exception reporting: COPD quality indicators
9hA..,Exception reporting: asthma quality indicators
A0222,Salmonella pneumonia
A054.,Amoebic lung abscess
A11..,Pulmonary tuberculosis
A110.,Infiltrative lung tuberculosis
A111.,Nodular lung tuberculosis
A112.,Tuberculosis of lung with cavitation
A113.,Tuberculosis of bronchus
A115.,Tuberculous bronchiectasis
A116.,Tuberculous pneumonia
A11y.,Other specified pulmonary tuberculosis
A11z.,Pulmonary tuberculosis NOS
A1202,Tuberculous hydrothorax
A1221,Isolated bronchial tuberculosis
A1240,TB lung confirm sputum microscopy with or without culture
A1241,Tuberculosis of lung, confirmed by culture only
A1242,Tuberculosis of lung, confirmed histologically
A1243,Tuberculosis of lung, confirmed by unspecified means
A1251,Tuberculosis lung bact and histological examin not done
A203.,Primary pneumonic plague
A204.,Secondary pneumonic plague
A205.,Pneumonic plague, unspecified
A33..,Whooping cough
A330.,Bordetella pertussis
A331.,Bordetella parapertussis
A33y.,Whooping cough - other specified organism
A33y0,Bordetella bronchiseptica
A33yz,Other whooping cough NOS
A33z.,Whooping cough NOS
A3803,Septicaemia due to streptococcus pneumoniae
A3B3.,Friedlander's bacillus infection
A3B5.,Haemophilus influenzae infection
A3BX4,Streptococ pneumon/cause/disease classified/oth chapters
A3BXA,Mycoplasma pneumoniae [PPLO] cause/dis classifd/oth chaptr
A3BXB,Klebsiella pneumoniae/cause/disease classifd/oth chapters
A3By1,Eaton's agent infection
A3By4,Pleuropneumonia-like organism (PPLO) infection
A54x4,Herpes simplex pneumonia
A551.,Postmeasles pneumonia
A730.,Ornithosis with pneumonia
A73x.,Ornithosis with other specified complications
A73y.,Ornithosis with unspecified complications
A73z.,Unspecified Ornithosis
A7893,HIV disease resulting in Pneumocystis carinii pneumonia
AB24.,Candidiasis of lung
AB30.,Primary pulmonary coccidioidomycosis
AB405,Histoplasma capsulatum with pneumonia
AB415,Histoplasma duboisii with pneumonia
AB4z5,Histoplasmosis with pneumonia
AB501,Primary pulmonary blastomycosis
AB504,Acute pulmonary blastomycosis
AB511,Pulmonary paracoccidioidomycosis
AB636,Aspergillus bronchitis
AD04.,Toxoplasma pneumonitis
Ayu39,[X]Whooping cough due to other Bordetella species
Ayu3A,[X]Whooping cough, unspecified
AyuK9,[X]Mycoplasma pneumoniae [PPLO]cause/dis classifd/oth chaptr
AyuKA,[X]Klebsiella pneumoniae/cause/disease classifd/oth chapters
B22z.,Malignant neoplasm of bronchus or lung NOS
C3621,Respiratory acidosis
C3625,Respiratory acidaemia
C3631,Respiratory alkalosis
C3633,Respiratory alkalaemia
F00y4,Meningitis due to klebsiella pneumoniae
H....,Respiratory system diseases
H0...,Acute respiratory infections
H06..,Acute bronchitis and bronchiolitis
H060.,Acute bronchitis
H0600,Acute fibrinous bronchitis
H0601,Acute membranous bronchitis
H0602,Acute pseudomembranous bronchitis
H0603,Acute purulent bronchitis
H0604,Acute croupous bronchitis
H0605,Acute tracheobronchitis
H0606,Acute pneumococcal bronchitis
H0607,Acute streptococcal bronchitis
H0608,Acute haemophilus influenzae bronchitis
H0609,Acute neisseria catarrhalis bronchitis
H060A,Acute bronchitis due to mycoplasma pneumoniae
H060B,Acute bronchitis due to coxsackievirus
H060C,Acute bronchitis due to parainfluenza virus
H060D,Acute bronchitis due to respiratory syncytial virus
H060E,Acute bronchitis due to rhinovirus
H060F,Acute bronchitis due to echovirus
H060v,Subacute bronchitis unspecified
H060w,Acute viral bronchitis unspecified
H060x,Acute bacterial bronchitis unspecified
H060z,Acute bronchitis NOS
H061.,Acute bronchiolitis
H0612,Acute bronchiolitis with bronchospasm
H0615,Acute bronchiolitis due to respiratory syncytial virus
H0616,Acute bronchiolitis due to other specified organisms
H062.,Acute lower respiratory tract infection
H06z.,Acute bronchitis or bronchiolitis NOS
H06z0,Chest infection NOS
H06z1,Lower resp tract infection
H06z2,Recurrent chest infection
H07..,Chest cold
H0z..,Acute respiratory infection NOS
H1yz0,Abscess of trachea
H2...,Pneumonia and influenza
H20..,Viral pneumonia
H200.,Pneumonia due to adenovirus
H201.,Pneumonia due to respiratory syncytial virus
H202.,Pneumonia due to parainfluenza virus
H203.,Pneumonia due to human metapneumovirus
H20y.,Viral pneumonia NEC
H20y0,Severe acute respiratory syndrome
H20z.,Viral pneumonia NOS
H21..,Lobar (pneumococcal) pneumonia
H22..,Other bacterial pneumonia
H220.,Pneumonia due to klebsiella pneumoniae
H221.,Pneumonia due to pseudomonas
H222.,Pneumonia due to haemophilus influenzae
H223.,Pneumonia due to streptococcus
H2230,Pneumonia due to streptococcus, group B
H224.,Pneumonia due to staphylococcus
H22y.,Pneumonia due to other specified bacteria
H22y0,Pneumonia due to escherichia coli
H22y1,Pneumonia due to proteus
H22y2,Pneumonia - Legionella
H22yX,Pneumonia due to other aerobic gram-negative bacteria
H22yz,Pneumonia due to bacteria NOS
H22z.,Bacterial pneumonia NOS
H23..,Pneumonia due to other specified organisms
H230.,Pneumonia due to Eaton's agent
H231.,Pneumonia due to mycoplasma pneumoniae
H232.,Pneumonia due to pleuropneumonia like organisms
H233.,Chlamydial pneumonia
H23z.,Pneumonia due to specified organism NOS
H24..,Pneumonia with infectious diseases EC
H240.,Pneumonia with measles
H241.,Pneumonia with cytomegalic inclusion disease
H242.,Pneumonia with ornithosis
H243.,Pneumonia with whooping cough
H244.,Pneumonia with tularaemia
H245.,Pneumonia with anthrax
H246.,Pneumonia with aspergillosis
H247.,Pneumonia with other systemic mycoses
H2470,Pneumonia with candidiasis
H2471,Pneumonia with coccidioidomycosis
H2472,Pneumonia with histoplasmosis
H247z,Pneumonia with systemic mycosis NOS
H24y.,Pneumonia with other infectious diseases EC
H24y0,Pneumonia with actinomycosis
H24y1,Pneumonia with nocardiasis
H24y2,Pneumonia with pneumocystis carinii
H24y3,Pneumonia with Q-fever
H24y4,Pneumonia with salmonellosis
H24y5,Pneumonia with toxoplasmosis
H24y6,Pneumonia with typhoid fever
H24y7,Pneumonia with varicella
H24yz,Pneumonia with other infectious diseases EC NOS
H24z.,Pneumonia with infectious diseases EC NOS
H25..,Bronchopneumonia due to unspecified organism
H26..,Pneumonia due to unspecified organism
H260.,Lobar pneumonia due to unspecified organism
H2600,Lung consolidation
H261.,Basal pneumonia due to unspecified organism
H262.,Postoperative pneumonia
H263.,Pneumonitis, unspecified
H270.,Influenza with pneumonia
H2700,Influenza with bronchopneumonia
H2701,Influenza with pneumonia, influenza virus identified
H270z,Influenza with pneumonia NOS
H271.,Influenza with other respiratory manifestation
H28..,Atypical pneumonia
H2B..,Community acquired pneumonia
H2C..,Hospital acquired pneumonia
H2y..,Other specified pneumonia or influenza
H2z..,Pneumonia or influenza NOS
H3...,Chronic obstructive pulmonary disease
H30..,Bronchitis unspecified
H300.,Tracheobronchitis NOS
H301.,Laryngotracheobronchitis
H302.,Wheezy bronchitis
H30z.,Bronchitis NOS
H31..,Chronic bronchitis
H310.,Simple chronic bronchitis
H3100,Chronic catarrhal bronchitis
H3101,Smokers' cough
H310z,Simple chronic bronchitis NOS
H311.,Mucopurulent chronic bronchitis
H3110,Purulent chronic bronchitis
H3111,Fetid chronic bronchitis
H311z,Mucopurulent chronic bronchitis NOS
H312.,Obstructive chronic bronchitis
H3120,Chronic asthmatic bronchitis
H3121,Emphysematous bronchitis
H3122,Acute exacerbation of chronic obstructive airways disease
H3123,Bronchiolitis obliterans
H312z,Obstructive chronic bronchitis NOS
H313.,Mixed simple and mucopurulent chronic bronchitis
H31y.,Other chronic bronchitis
H31y0,Chronic tracheitis
H31y1,Chronic tracheobronchitis
H31yz,Other chronic bronchitis NOS
H31z.,Chronic bronchitis NOS
H32..,Emphysema
H320.,Chronic bullous emphysema
H3200,Segmental bullous emphysema
H3201,Zonal bullous emphysema
H3202,Giant bullous emphysema
H3203,Bullous emphysema with collapse
H320z,Chronic bullous emphysema NOS
H321.,Panlobular emphysema
H322.,Centrilobular emphysema
H32y.,Other emphysema
H32y0,Acute vesicular emphysema
H32y1,Atrophic (senile) emphysema
H32y2,MacLeod's unilateral emphysema
H32yz,Other emphysema NOS
H32z.,Emphysema NOS
H33..,Asthma
H330.,Extrinsic (atopic) asthma
H3300,Extrinsic asthma without status asthmaticus
H3301,Extrinsic asthma with status asthmaticus
H330z,Extrinsic asthma NOS
H331.,Intrinsic asthma
H3310,Intrinsic asthma without status asthmaticus
H3311,Intrinsic asthma with status asthmaticus
H331z,Intrinsic asthma NOS
H332.,Mixed asthma
H333.,Acute exacerbation of asthma
H334.,Brittle asthma
H335.,Chronic asthma with fixed airflow obstruction
H33z.,Asthma unspecified
H33z0,Status asthmaticus NOS
H33z1,Asthma attack
H33z2,Late-onset asthma
H33zz,Asthma NOS
H34..,Bronchiectasis
H340.,Recurrent bronchiectasis
H341.,Post-infective bronchiectasis
H34z.,Bronchiectasis NOS
H35..,Extrinsic allergic alveolitis
H350.,Farmers' lung
H351.,Bagassosis
H352.,Bird-fancier's lung
H3520,Budgerigar-fanciers' lung
H3521,Pigeon-fanciers' lung
H352z,Bird-fancier's lung NOS
H353.,Suberosis ( cork-handlers' lung )
H354.,Malt workers' lung
H355.,Mushroom workers' lung
H356.,Maple bark strippers' lung
H357.,Ventilation pneumonitis
H35y.,Other allergic alveolitis
H35y0,Cheese-washers' lung
H35y1,Coffee-workers' lung
H35y2,Fish-meal workers' lung
H35y3,Furriers' lung
H35y4,Grain-handlers' disease
H35y5,Pituitary snuff-takers' disease
H35y6,Sequoiosis (red-cedar asthma)
H35y7,Wood asthma
H35y8,Air-conditioner and humidifier lung
H35yz,Other allergic alveolitis NOS
H35z.,Allergic alveolitis and pneumonitis NOS
H35z0,Allergic extrinsic alveolitis NOS
H35z1,Hypersensitivity pneumonitis NOS
H35zz,Allergic alveolitis and pneumonitis NOS
H36..,Mild chronic obstructive pulmonary disease
H37..,Moderate chronic obstructive pulmonary disease
H38..,Severe chronic obstructive pulmonary disease
H39..,Very severe chronic obstructive pulmonary disease
H3A..,End stage chronic obstructive airways disease
H3y..,Other specified chronic obstructive airways disease
H3y0.,Chronic obstruct pulmonary dis with acute lower resp infectn
H3y1.,Chron obstruct pulmonary dis wth acute exacerbation, unspec
H3z..,Chronic obstructive airways disease NOS
H4...,Lung disease due to external agents
H40..,Coal workers' pneumoconiosis
H41..,Asbestosis
H410.,Pleural plaque disease due to asbestosis
H41z.,Asbestosis NOS
H42..,Silica and silicate pneumoconiosis
H420.,Talc pneumoconiosis
H421.,Simple silicosis
H422.,Complicated silicosis
H423.,Massive silicotic fibrosis
H42z.,Silica pneumoconiosis NOS
H43..,Pneumoconiosis due to other inorganic dust
H430.,Aluminosis of lung
H431.,Bauxite fibrosis of lung
H432.,Berylliosis
H433.,Graphite fibrosis of lung
H434.,Siderosis
H435.,Stannosis
H43z.,Pneumoconiosis due to inorganic dust NOS
H44..,Pneumopathy due to inhalation of other dust
H440.,Byssinosis
H441.,Cannabinosis
H442.,Flax-dressers' disease
H44z.,Pneumopathy due to inhalation of other dust NOS
H45..,Pneumoconiosis NOS
H450.,Pneumoconiosis associated with tuberculosis
H46..,Respiratory disease due to chemical fumes and vapours
H460.,Bronchitis and pneumonitis due to chemical fumes
H4600,Acute bronchitis due to chemical fumes
H4601,Acute pneumonitis due to chemical fumes
H460z,Bronchitis and pneumonitis due to chemical fumes NOS
H461.,Acute pulmonary oedema due to chemical fumes
H462.,Upper respiratory inflammation due to chemical fumes
H463.,Other acute respiratory diseases due to chemical fumes
H464.,Chronic respiratory conditions due to chemical fumes
H4640,Chronic emphysema due to chemical fumes
H4641,Obliterative bronchiolitis due to chemical fumes
H4642,Chronic pulmonary fibrosis due to chemical fumes
H464z,Chronic respiratory conditions due to chemical fumes NOS
H46z.,Respiratory conditions due to chemical fumes NOS
H46z0,Silo-fillers' disease
H46zz,Respiratory conditions due to chemical fumes NOS
H47..,Pneumonitis due to inhalation of solids or liquids
H470.,Pneumonitis due to inhalation of food or vomitus
H4700,Pneumonitis due to inhalation of regurgitated food
H4701,Pneumonitis due to inhalation of gastric secretions
H4702,Pneumonitis due to inhalation of milk
H4703,Pneumonitis due to inhalation of vomitus
H470z,Pneumonitis due to inhalation of food or vomitus NOS
H471.,Pneumonitis due to inhalation of oil or essence
H4710,Lipoid pneumonia (exogenous)
H471z,Pneumonitis due to inhalation of oil or essence NOS
H472.,Asp pneumonitis due to anaesthesia during labour and deliv
H47y.,Pneumonitis due to inhalation of other solid or liquid
H47y0,Detergent asthma
H47yz,Pneumonitis due to inhalation of solid or liquid NOS
H47z.,Pneumonitis due to inhalation of solid or liquid NOS
H48..,Progressive massive fibrosis
H4y..,Other specified lung diseases due to external agent
H4y0.,Acute pulmonary radiation disease
H4y00,Acute radiation pneumonitis
H4y0z,Acute pulmonary radiation disease NOS
H4y1.,Chronic pulmonary radiation disease
H4y10,Chronic pulmonary fibrosis following radiation
H4y1z,Chronic pulmonary radiation disease NOS
H4y2.,Drug-induced interstitial lung disorders
H4y20,Acute drug-induced interstitial lung disorders
H4y21,Chronic drug-induced interstitial lung disorders
H4yy.,Other external agent causing respiratory condition
H4yz.,External agent causing respiratory conditions NOS
H4z..,Lung disease due to external agents NOS
H5...,Other respiratory system diseases
H50..,Empyema
H500.,Empyema with fistula
H5000,Empyema with bronchocutaneous fistula
H5001,Empyema with bronchopleural fistula
H5002,Empyema with hepatopleural fistula
H5003,Empyema with mediastinal fistula
H5004,Empyema with pleural fistula NOS
H5005,Empyema with thoracic fistula NOS
H500z,Empyema with fistula NOS
H501.,Empyema with no fistula
H5010,Pleural abscess
H5011,Thorax abscess NOS
H5012,Pleural empyema
H5013,Lung empyema NOS
H5014,Purulent pleurisy
H5015,Pyopneumothorax
H5016,Pyothorax
H501z,Empyema with no fistula NOS
H50z.,Empyema NOS
H51..,Pleurisy
H510.,Pleurisy without effusion or active tuberculosis
H5100,Adhesion of pleura or lung
H5101,Thickening of pleura
H5102,Calcification of pleura
H5103,Acute dry pleurisy
H5104,Diaphragmatic pleurisy
