medcode,readcode,readterm,cat,score
8443,G663.00,Brain stem stroke syndrome,Cerebrovascular disease,1
7138,ZV12512,[V]Personal history of cerebrovascular accident (CVA),Cerebrovascular disease,1
56279,L440.12,Stroke in the puerperium,Cerebrovascular disease,1
2156,G631.11,"Stenosis, carotid artery",Cerebrovascular disease,1
11074,9h22.00,Excepted from stroke quality indicators: Informed dissent,Cerebrovascular disease,1
70536,G671000,Acute cerebrovascular insufficiency NOS,Cerebrovascular disease,1
3535,G61z.00,Intracerebral haemorrhage NOS,Cerebrovascular disease,1
30045,G616.00,External capsule haemorrhage,Cerebrovascular disease,1
104638,8IEC.00,Ref multidisciplinary stroke function improvement declined,Cerebrovascular disease,1
225202,Gyu6700,[X]Other specified cerebrovascular diseases,Cerebrovascular disease,1
2654,7A20400,Endarterectomy of carotid artery NEC,Cerebrovascular disease,1
41577,1477.00,H/O: cerebrovascular disease,Cerebrovascular disease,1
105738,G657.00,Carotid territory transient ischaemic attack,Cerebrovascular disease,1
53745,Gyu6400,[X]Other cerebral infarction,Cerebrovascular disease,1
6253,G66..12,Stroke unspecified,Cerebrovascular disease,1
94482,Gyu6G00,[X]Cereb infarct due unsp occlus/stenos precerebr arteries,Cerebrovascular disease,1
10794,G656.00,Vertebrobasilar insufficiency,Cerebrovascular disease,1
36717,G640000,Cerebral infarction due to thrombosis of cerebral arteries,Cerebrovascular disease,1
19354,G65y.00,Other transient cerebral ischaemia,Cerebrovascular disease,1
40847,G632.00,Vertebral artery occlusion,Cerebrovascular disease,1
107886,662e.11,Stroke annual review,Cerebrovascular disease,1
11039,9h21.00,Excepted from stroke quality indicators: Patient unsuitable,Cerebrovascular disease,1
4240,G631.00,Carotid artery occlusion,Cerebrovascular disease,1
22677,G70y011,Carotid artery disease,Cerebrovascular disease,1
10962,9h2..00,Exception reporting: stroke quality indicators,Cerebrovascular disease,1
105100,662M100,Stroke 6 month review,Cerebrovascular disease,1
65770,G677200,Occlusion and stenosis of posterior cerebral artery,Cerebrovascular disease,1
31704,G677.00,Occlusion/stenosis cerebral arts not result cerebral infarct,Cerebrovascular disease,1
5185,G64z111,Lateral medullary syndrome,Cerebrovascular disease,1
33377,G651.00,Vertebral artery syndrome,Cerebrovascular disease,1
24035,E031400,"Subacute confusional state, of cerebrovascular origin",Cerebrovascular disease,1
43451,G682.00,Sequelae of other nontraumatic intracranial haemorrhage,Cerebrovascular disease,1
28753,9Om0.00,Stroke/transient ischaemic attack monitoring first letter,Cerebrovascular disease,1
28914,662o.00,Haemorrhagic stroke monitoring,Cerebrovascular disease,1
1786,G60..00,Subarachnoid haemorrhage,Cerebrovascular disease,1
265818,4319CR,HAEMORRHAGE INTRACRANIAL,Cerebrovascular disease,1
41910,G605.00,Subarachnoid haemorrhage from basilar artery,Cerebrovascular disease,1
105520,8Hd6.00,Admission to stroke unit,Cerebrovascular disease,1
57315,G618.00,"Intracerebral haemorrhage, multiple localized",Cerebrovascular disease,1
63830,G63..12,Stenosis of precerebral arteries,Cerebrovascular disease,1
92036,Gyu6600,[X]Occlusion and stenosis of other cerebral arteries,Cerebrovascular disease,1
67640,L440000,Puerperal cerebrovascular disorder unspecified,Cerebrovascular disease,1
569,G64..12,Infarction - cerebral,Cerebrovascular disease,1
16507,G65z100,Intermittent cerebral ischaemia,Cerebrovascular disease,1
51759,G677000,Occlusion and stenosis of middle cerebral artery,Cerebrovascular disease,1
12833,G668.00,Right sided CVA,Cerebrovascular disease,1
18604,G61..12,Stroke due to intracerebral haemorrhage,Cerebrovascular disease,1
19348,ZV12511,[V]Personal history of stroke,Cerebrovascular disease,1
272627,S620.00,Closed traumatic subarachnoid haemorrhage,Cerebrovascular disease,1
6960,G61..11,CVA - cerebrovascular accid due to intracerebral haemorrhage,Cerebrovascular disease,1
91272,L440300,Puerperal cerebrovascular disorder with antenatal comp,Cerebrovascular disease,1
20284,G62z.00,Intracranial haemorrhage NOS,Cerebrovascular disease,1
48149,G681.00,Sequelae of intracerebral haemorrhage,Cerebrovascular disease,1
97470,L440100,Puerperal cerebrovascular disorder - delivered,Cerebrovascular disease,1
50594,G654.00,Multiple and bilateral precerebral artery syndromes,Cerebrovascular disease,1
248001,8520A,HAEMORRHAGE SUBARACHNOID TRAUMATIC,Cerebrovascular disease,1
96717,S621.00,Open traumatic subarachnoid haemorrhage,Cerebrovascular disease,1
60781,P7y0z00,Cerebrovascular system anomaly NOS,Cerebrovascular disease,1
19201,G61X100,"Right sided intracerebral haemorrhage, unspecified",Cerebrovascular disease,1
107440,G619.00,Lobar cerebral haemorrhage,Cerebrovascular disease,1
31595,G610.00,Cortical haemorrhage,Cerebrovascular disease,1
235966,S627.00,Traumatic subarachnoid haemorrhage,Cerebrovascular disease,1
57783,Q417000,Intracerebral (nontraumatic) haemorrhage of fet and newborn,Cerebrovascular disease,1
26424,G64z400,Infarction of basal ganglia,Cerebrovascular disease,1
2418,G6...00,Cerebrovascular disease,Cerebrovascular disease,1
51138,G68W.00,Sequelae/other + unspecified cerebrovascular diseases,Cerebrovascular disease,1
8837,G64..00,Cerebral arterial occlusion,Cerebrovascular disease,1
303847,4369B,STROKE,Cerebrovascular disease,1
15788,G65zz00,Transient cerebral ischaemia NOS,Cerebrovascular disease,1
15252,G64z.11,Brainstem infarction NOS,Cerebrovascular disease,1
100128,F124.00,Vascular parkinsonism,Cerebrovascular disease,1
306468,4319CE,HAEMORRHAGE INTRACEREBRAL,Cerebrovascular disease,1
18686,662e.00,Stroke/CVA annual review,Cerebrovascular disease,1
17322,G664.00,Cerebellar stroke syndrome,Cerebrovascular disease,1
13577,G67..00,Other cerebrovascular disease,Cerebrovascular disease,1
34117,G67y.00,Other cerebrovascular disease OS,Cerebrovascular disease,1
42283,S63z.00,Other cerebral haemorrhage following injury NOS,Cerebrovascular disease,1
247398,4380,CEREBROVASCULAR DISEASE WITH HYPERTENSIO,Cerebrovascular disease,1
71274,G677400,Occlusion+stenosis of multiple and bilat cerebral arteries,Cerebrovascular disease,1
51326,G63y.00,Other precerebral artery occlusion,Cerebrovascular disease,1
62342,G615.00,Bulbar haemorrhage,Cerebrovascular disease,1
5871,14A7.12,H/O: stroke,Cerebrovascular disease,1
9696,G604.00,Subarachnoid haemorrhage from posterior communicating artery,Cerebrovascular disease,1
24446,G63y100,Cerebral infarction due to embolism of precerebral arteries,Cerebrovascular disease,1
56007,G601.00,Subarachnoid haemorrhage from carotid siphon and bifurcation,Cerebrovascular disease,1
71585,G63z.00,Precerebral artery occlusion NOS,Cerebrovascular disease,1
60692,G606.00,Subarachnoid haemorrhage from vertebral artery,Cerebrovascular disease,1
94105,P7y0y00,Other specified cerebrovascular anomaly,Cerebrovascular disease,1
42331,G603.00,Subarachnoid haemorrhage from anterior communicating artery,Cerebrovascular disease,1
16517,G640.00,Cerebral thrombosis,Cerebrovascular disease,1
51767,G666.00,Pure sensory lacunar syndrome,Cerebrovascular disease,1
303829,4309,SUBARACHNOID HAEMORRHAGE,Cerebrovascular disease,1
66873,14AK.00,H/O: Stroke in last year,Cerebrovascular disease,1
12555,G671z00,Generalised ischaemic cerebrovascular disease NOS,Cerebrovascular disease,1
23942,G650.00,Basilar artery syndrome,Cerebrovascular disease,1
284069,4310,HAEMORRHAGE INTRACEREBRAL WITH HYPERTENS,Cerebrovascular disease,1
57527,G677100,Occlusion and stenosis of anterior cerebral artery,Cerebrovascular disease,1
15019,G641.00,Cerebral embolism,Cerebrovascular disease,1
18912,G623.00,Subdural haemorrhage NOS,Cerebrovascular disease,1
3149,G64z.00,Cerebral infarction NOS,Cerebrovascular disease,1
256592,4300,SUBARACHNOID HAEMORRHAGE WITH HYPERTENSI,Cerebrovascular disease,1
7017,7004300,Evacuation of intracerebral haematoma NEC,Cerebrovascular disease,1
276128,1477,H/O: cerebrovascular disease,Cerebrovascular disease,1
31060,G61X.00,"Intracerebral haemorrhage in hemisphere, unspecified",Cerebrovascular disease,1
96630,Gyu6F00,"[X]Intracerebral haemorrhage in hemisphere, unspecified",Cerebrovascular disease,1
32447,G630.00,Basilar artery occlusion,Cerebrovascular disease,1
108668,Gyu6000,[X]Subarachnoid haemorrhage from other intracranial arteries,Cerebrovascular disease,1
303835,4350,TRANSIENT CEREBRAL ISCHAEMIA WITH HYPERT,Cerebrovascular disease,1
98188,G679.00,Small vessel cerebrovascular disease,Cerebrovascular disease,1
6155,G64..13,Stroke due to cerebral arterial occlusion,Cerebrovascular disease,1
31451,P7y0.00,Cerebrovascular system anomalies,Cerebrovascular disease,1
23580,G60z.00,Subarachnoid haemorrhage NOS,Cerebrovascular disease,1
23361,G68..00,Late effects of cerebrovascular disease,Cerebrovascular disease,1
30202,G617.00,"Intracerebral haemorrhage, intraventricular",Cerebrovascular disease,1
40758,G6W..00,Cereb infarct due unsp occlus/stenos precerebr arteries,Cerebrovascular disease,1
95347,Fyu5700,[X]Other vascular syndroms/brain in cerebrovasculr diseases,Cerebrovascular disease,1
2417,G65..13,Vertebro-basilar insufficiency,Cerebrovascular disease,1
47607,L440.11,CVA - cerebrovascular accident in the puerperium,Cerebrovascular disease,1
36559,Q200011,Intracerebral haemorrhage in fetus or newborn,Cerebrovascular disease,1
13707,8HBJ.00,Stroke / transient ischaemic attack referral,Cerebrovascular disease,1
9985,G64z200,Left sided cerebral infarction,Cerebrovascular disease,1
5363,G64..11,CVA - cerebral artery occlusion,Cerebrovascular disease,1
52246,13YA.00,Stroke group member,Cerebrovascular disease,1
25615,G64z000,Brainstem infarction,Cerebrovascular disease,1
1433,G65..12,Transient ischaemic attack,Cerebrovascular disease,1
2652,G634.00,Carotid artery stenosis,Cerebrovascular disease,1
8181,S628.00,Traumatic subdural haemorrhage,Cerebrovascular disease,1
73901,Gyu6.00,[X]Cerebrovascular diseases,Cerebrovascular disease,1
21118,G651000,Vertebro-basilar artery syndrome,Cerebrovascular disease,1
234331,Gyu6D00,[X]Sequelae/other  unspecified cerebrovascular diseases,Cerebrovascular disease,1
1895,G65z.00,Transient cerebral ischaemia NOS,Cerebrovascular disease,1
6116,G66..13,CVA - Cerebrovascular accident unspecified,Cerebrovascular disease,1
12413,5C10.00,Carotid artery doppler abnormal,Cerebrovascular disease,1
34245,9Om1.00,Stroke/transient ischaemic attack monitoring second letter,Cerebrovascular disease,1
34758,G641.11,Cerebral embolus,Cerebrovascular disease,1
10504,G64z300,Right sided cerebral infarction,Cerebrovascular disease,1
13564,G613.00,Cerebellar haemorrhage,Cerebrovascular disease,1
44765,G653.00,Carotid artery syndrome hemispheric,Cerebrovascular disease,1
103318,679J200,Health education - structured patient focused asthma discuss,Chronic pulmonary disease,1
103753,H563.13,Idiopathic pulmonary fibrosis,Chronic pulmonary disease,1
6140,H58y400,Squamous metaplasia of lung,Chronic pulmonary disease,1
66856,H500000,Empyema with bronchocutaneous fistula,Chronic pulmonary disease,1
53205,H4y2000,Acute drug-induced interstitial lung disorders,Chronic pulmonary disease,1
65344,C370000,Cystic fibrosis with no meconium ileus,Chronic pulmonary disease,1
100107,679J000,Health education - asthma self management,Chronic pulmonary disease,1
12166,H3y..00,Other specified chronic obstructive airways disease,Chronic pulmonary disease,1
56652,H356.00,Maple bark strippers' lung,Chronic pulmonary disease,1
41694,H355.00,Mushroom workers' lung,Chronic pulmonary disease,1
46977,H35z.00,Allergic alveolitis and pneumonitis NOS,Chronic pulmonary disease,1
49194,H432.00,Berylliosis,Chronic pulmonary disease,1
303975,493 AA,ASTHMA ACUTE,Chronic pulmonary disease,1
64721,H464000,Chronic emphysema due to chemical fumes,Chronic pulmonary disease,1
100877,38Dd.00,Clinical chronic obstructive pulmonary disease questionnaire,Chronic pulmonary disease,1
1555,H33..11,Bronchial asthma,Chronic pulmonary disease,1
5005,H410.00,Pleural plaque disease due to asbestosis,Chronic pulmonary disease,1
94946,H592.00,Chronic type 1 respiratory failure,Chronic pulmonary disease,1
19106,66Yd.00,COPD accident and emergency attendance since last visit,Chronic pulmonary disease,1
70286,H35y200,Fish-meal workers' lung,Chronic pulmonary disease,1
31722,H46..00,Respiratory disease due to chemical fumes and vapours,Chronic pulmonary disease,1
11695,9hA2.00,Excepted from asthma quality indicators: Informed dissent,Chronic pulmonary disease,1
256648,493 A,BRONCHITIS ALLERGIC,Chronic pulmonary disease,1
103475,H564.11,Cryptogenic organising pneumonia,Chronic pulmonary disease,1
58196,H331100,Intrinsic asthma with status asthmaticus,Chronic pulmonary disease,1
37943,9OJ7.00,Asthma monitor verbal invite,Chronic pulmonary disease,1
104985,9NgP.00,On chronic obstructive pulmonary disease supprtv cre pathway,Chronic pulmonary disease,1
26501,663s.00,Asthma never causes daytime symptoms,Chronic pulmonary disease,1
11387,9OJ2.00,Refuses asthma monitoring,Chronic pulmonary disease,1
66223,P840.00,"Congenital cystic lung disease, unspecified",Chronic pulmonary disease,1
265894,5161F,FARMERS' LUNG,Chronic pulmonary disease,1
40864,U60F615,[X] Adverse reaction to theophylline - asthma,Chronic pulmonary disease,1
18792,9Oi..00,Chronic obstructive pulmonary disease monitoring admin,Chronic pulmonary disease,1
25013,H4...11,Pneumoconioses,Chronic pulmonary disease,1
103944,178A.00,Asthma trigger - airborne dust,Chronic pulmonary disease,1
11573,H58yz00,Other lung disease NEC NOS,Chronic pulmonary disease,1
106805,H335.00,Chronic asthma with fixed airflow obstruction,Chronic pulmonary disease,1
28755,9Oi0.00,Chronic obstructive pulmonary disease monitoring 1st letter,Chronic pulmonary disease,1
102341,1781.00,Asthma trigger - pollen,Chronic pulmonary disease,1
41554,9OJ3.00,Asthma monitor offer default,Chronic pulmonary disease,1
30382,9OJZ.00,Asthma monitoring admin.NOS,Chronic pulmonary disease,1
106650,H583200,Eosinophilic bronchitis,Chronic pulmonary disease,1
23446,H42z.00,Silica pneumoconiosis NOS,Chronic pulmonary disease,1
44015,H4y2.00,Drug-induced interstitial lung disorders,Chronic pulmonary disease,1
11101,H060500,Acute tracheobronchitis,Chronic pulmonary disease,1
45427,H35y500,Pituitary snuff-takers' disease,Chronic pulmonary disease,1
11287,66YM.00,Chronic obstructive pulmonary disease annual review,Chronic pulmonary disease,1
107167,66Yu.00,Number days absent from school due to asthma in past 6 month,Chronic pulmonary disease,1
5798,H312000,Chronic asthmatic bronchitis,Chronic pulmonary disease,1
308638,h33z100,Asthma attack,Chronic pulmonary disease,1
10802,H37..00,Moderate chronic obstructive pulmonary disease,Chronic pulmonary disease,1
24248,H313.00,Mixed simple and mucopurulent chronic bronchitis,Chronic pulmonary disease,1
59587,H501600,Pyothorax,Chronic pulmonary disease,1
103758,8Hkw.00,Referral to COPD community nursing team,Chronic pulmonary disease,1
60805,H420.00,Talc pneumoconiosis,Chronic pulmonary disease,1
59340,H500.00,Empyema with fistula,Chronic pulmonary disease,1
18717,9h5..00,Exception reporting: COPD quality indicators,Chronic pulmonary disease,1
22835,H564.00,Bronchiolitis obliterans organising pneumonia,Chronic pulmonary disease,1
45998,66YT.00,Chronic obstructive pulmonary disease monitoring by doctor,Chronic pulmonary disease,1
26018,66YS.00,Chronic obstructive pulmonary disease monitoring by nurse,Chronic pulmonary disease,1
103864,9kf0.11,COPD patient unsuitable for pulmonary rehabilitation,Chronic pulmonary disease,1
152,H302.00,Wheezy bronchitis,Chronic pulmonary disease,1
21185,H53..00,Abscess of lung and mediastinum,Chronic pulmonary disease,1
11019,8H2R.00,Admit COPD emergency,Chronic pulmonary disease,1
303983,493 EB,ASTHMA EXERCISE INDUCED,Chronic pulmonary disease,1
103733,H320311,Tension pneumatocoele,Chronic pulmonary disease,1
105457,8CMW500,Chronic obstructive pulmonary disease care pathway,Chronic pulmonary disease,1
102170,66Yp.00,Asthma review using Roy Colleg of Physicians three questions,Chronic pulmonary disease,1
100397,38DT.00,Asthma control questionnaire,Chronic pulmonary disease,1
15693,A115.00,Tuberculous bronchiectasis,Chronic pulmonary disease,1
96655,H57y500,Lung disease with syphilis,Chronic pulmonary disease,1
68814,H562.00,Pulmonary alveolar microlithiasis,Chronic pulmonary disease,1
102209,38DV.00,Mini asthma quality of life questionnaire,Chronic pulmonary disease,1
13064,663V.00,Asthma severity,Chronic pulmonary disease,1
5710,H3z..00,Chronic obstructive airways disease NOS,Chronic pulmonary disease,1
102449,1789.00,Asthma trigger - respiratory infection,Chronic pulmonary disease,1
36706,H58y100,Calcification of lung,Chronic pulmonary disease,1
67709,H354.00,Malt workers' lung,Chronic pulmonary disease,1
13173,663O.00,Asthma not disturbing sleep,Chronic pulmonary disease,1
1934,H301.00,Laryngotracheobronchitis,Chronic pulmonary disease,1
93353,H35y600,Sequoiosis (red-cedar asthma),Chronic pulmonary disease,1
102888,663P100,Asthma limits activities 1 to 2 times per week,Chronic pulmonary disease,1
7321,H541z00,Pulmonary oedema NOS,Chronic pulmonary disease,1
21973,H4...00,Lung disease due to external agents,Chronic pulmonary disease,1
36622,C370111,Meconium ileus in cystic fibrosis,Chronic pulmonary disease,1
68066,H31yz00,Other chronic bronchitis NOS,Chronic pulmonary disease,1
10487,663j.00,Asthma - currently active,Chronic pulmonary disease,1
305170,7832AB,WHEEZING BRONCHIAL,Chronic pulmonary disease,1
7058,8H2P.00,"Emergency admission, asthma",Chronic pulmonary disease,1
31135,9OJ8.00,Asthma monitor phone invite,Chronic pulmonary disease,1
32727,H33z.11,Hyperreactive airways disease,Chronic pulmonary disease,1
51858,H35y.00,Other allergic alveolitis,Chronic pulmonary disease,1
148,H30..00,Bronchitis unspecified,Chronic pulmonary disease,1
38146,663N100,Asthma disturbs sleep weekly,Chronic pulmonary disease,1
100740,679J100,Health education - structured asthma discussion,Chronic pulmonary disease,1
62707,H4yz.00,External agent causing respiratory conditions NOS,Chronic pulmonary disease,1
27348,H561.00,Idiopathic pulmonary haemosiderosis,Chronic pulmonary disease,1
23333,H540000,Hypostatic pneumonia,Chronic pulmonary disease,1
306536,493 BD,ASTHMA AND BRONCHITIS,Chronic pulmonary disease,1
100610,C370400,Arthropathy in cystic fibrosis,Chronic pulmonary disease,1
294460,1761,C/O bronchial catarrh,Chronic pulmonary disease,1
38145,663x.00,Asthma limits walking on the flat,Chronic pulmonary disease,1
47336,A11..11,Lung tuberculosis,Chronic pulmonary disease,1
69017,C370100,Cystic fibrosis with meconium ileus,Chronic pulmonary disease,1
56762,AD04.00,Toxoplasma pneumonitis,Chronic pulmonary disease,1
240351,6.6300000000e+102,Asthma severely restricts exercise,Chronic pulmonary disease,1
6563,H58..00,Other diseases of lung,Chronic pulmonary disease,1
53095,H35zz00,Allergic alveolitis and pneumonitis NOS,Chronic pulmonary disease,1
10980,H322.00,Centrilobular emphysema,Chronic pulmonary disease,1
45089,H31y100,Chronic tracheobronchitis,Chronic pulmonary disease,1
103760,9kf2.11,COPD structured smoking assessment declined,Chronic pulmonary disease,1
29966,C350300,Idiopathic pulmonary haemosiderosis,Chronic pulmonary disease,1
103945,1785.00,Asthma trigger - damp,Chronic pulmonary disease,1
62200,H351.00,Bagassosis,Chronic pulmonary disease,1
103785,H58y500,Respiratory bronchiolitis associated interstitial lung dis,Chronic pulmonary disease,1
60313,H44..00,Pneumopathy due to inhalation of other dust,Chronic pulmonary disease,1
306539,493 EA,ASTHMA EXERCISE INCLUDED,Chronic pulmonary disease,1
56427,P861.00,Congenital bronchiectasis,Chronic pulmonary disease,1
303976,493 AB,ASTHMA ATTACK,Chronic pulmonary disease,1
22752,173c.00,Occupational asthma,Chronic pulmonary disease,1
44425,H501200,Pleural empyema,Chronic pulmonary disease,1
104117,661M300,COPD self-management plan agreed,Chronic pulmonary disease,1
25705,9OJ6.00,Asthma monitor 3rd letter,Chronic pulmonary disease,1
45771,66Yh.00,Chronic obstructive pulmonary disease does not disturb sleep,Chronic pulmonary disease,1
37711,H530100,Multiple lung abscess,Chronic pulmonary disease,1
25181,663e.00,Asthma restricts exercise,Chronic pulmonary disease,1
5138,9Q21.00,Patient in asthma study,Chronic pulmonary disease,1
18141,66YE.00,Asthma monitoring due,Chronic pulmonary disease,1
46628,H501500,Pyopneumothorax,Chronic pulmonary disease,1
63233,TJF7z00,Adverse reaction to antiasthmatic NOS,Chronic pulmonary disease,1
31225,663t.00,Asthma causes daytime symptoms 1 to 2 times per month,Chronic pulmonary disease,1
36240,H352z00,Bird-fancier's lung NOS,Chronic pulmonary disease,1
8317,H58y300,Interstitial lung disease NEC,Chronic pulmonary disease,1
18323,H331111,Intrinsic asthma with asthma attack,Chronic pulmonary disease,1
98283,9kf2.00,COPD structured smoking assessment declined - enh serv admin,Chronic pulmonary disease,1
5909,H312011,Chronic wheezy bronchitis,Chronic pulmonary disease,1
103678,8BMa000,Chronic obstructiv pulmonary disease medication optimisation,Chronic pulmonary disease,1
303987,493 KA,EXACERBATION OF ASTHMA,Chronic pulmonary disease,1
7731,H330.14,Pollen asthma,Chronic pulmonary disease,1
28229,H563z00,Idiopathic fibrosing alveolitis NOS,Chronic pulmonary disease,1
303977,493 AD,ASTHMA OCCASIONAL,Chronic pulmonary disease,1
100509,9NNX.00,Under care of asthma specialist nurse,Chronic pulmonary disease,1
37959,H311100,Fetid chronic bronchitis,Chronic pulmonary disease,1
26861,663e000,Asthma sometimes restricts exercise,Chronic pulmonary disease,1
66043,H31y.00,Other chronic bronchitis,Chronic pulmonary disease,1
13066,663h.00,Asthma - currently dormant,Chronic pulmonary disease,1
9876,H38..00,Severe chronic obstructive pulmonary disease,Chronic pulmonary disease,1
303069,114 PF,PIGEON FANCIER'S LUNG,Chronic pulmonary disease,1
28853,N04y012,Fibrosing alveolitis associated with rheumatoid arthritis,Chronic pulmonary disease,1
275013,491 BT,BRONCHITIS OBSTRUCTIVE,Chronic pulmonary disease,1
13065,663V200,Moderate asthma,Chronic pulmonary disease,1
24356,H540100,Hypostatic bronchopneumonia,Chronic pulmonary disease,1
6707,H330111,Extrinsic asthma with asthma attack,Chronic pulmonary disease,1
29325,H331000,Intrinsic asthma without status asthmaticus,Chronic pulmonary disease,1
61991,H56y000,Endogenous lipoid pneumonia,Chronic pulmonary disease,1
54893,H582.00,Compensatory emphysema,Chronic pulmonary disease,1
18621,66YL.00,Chronic obstructive pulmonary disease follow-up,Chronic pulmonary disease,1
9954,H570.00,Rheumatoid lung,Chronic pulmonary disease,1
38639,H460.00,Bronchitis and pneumonitis due to chemical fumes,Chronic pulmonary disease,1
27926,H330100,Extrinsic asthma with status asthmaticus,Chronic pulmonary disease,1
43417,H4y2100,Chronic drug-induced interstitial lung disorders,Chronic pulmonary disease,1
109495,9OqCC00,Cystic fibrosis repeat screening with further sample require,Chronic pulmonary disease,1
33450,H32z.00,Emphysema NOS,Chronic pulmonary disease,1
4442,H33z.00,Asthma unspecified,Chronic pulmonary disease,1
38144,663w.00,Asthma limits walking up hills or stairs,Chronic pulmonary disease,1
