medcode,readcode,readterm,cat,score,CC,TERMID,TERM60
1469,G66..00,Stroke and cerebrovascular accident unspecified,Cerebrovascular disease,1,XE2aB,Y00ch,Stroke and cerebrovascular accident unspecified
19260,G662.00,Posterior cerebral artery syndrome,Cerebrovascular disease,1,G662.,YMAiS,Posterior cerebral artery syndrome
91627,Gyu6300,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Cerebrovascular disease,1,Gyu63,YMAHy,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
35916,7A20300,Endarterectomy and patch repair of carotid artery,Cerebrovascular disease,1,7A203,Y03Lo,Endarterectomy and patch repair of carotid artery
98642,G633.00,Multiple and bilateral precerebral arterial occlusion,Cerebrovascular disease,1,G633.,Y20FU,Multiple and bilateral precerebral arterial occlusion
57495,G63..11,Infarction - precerebral,Cerebrovascular disease,1,X00D4,Y00cp,Infarction - precerebral
103690,38G3.00,"Hyperten, abnorm renal/liver funct, stroke, BLED score",Cerebrovascular disease,1,XaY6z,YaufB,"Hyperten, abnorm renal/liver funct, stroke, BLED score"
107195,661M700,Stroke self-management plan agreed,Cerebrovascular disease,1,XaYbE,Yauv4,Stroke self-management plan agreed
56279,L440.12,Stroke in the puerperium,Cerebrovascular disease,1,XM1PL,Y415m,Stroke in the puerperium
11074,9h22.00,Excepted from stroke quality indicators: Informed dissent,Cerebrovascular disease,1,XaJ4c,Yam0j,Excepted from stroke quality indicators: Informed dissent
70536,G671000,Acute cerebrovascular insufficiency NOS,Cerebrovascular disease,1,G6710,Y00cX,Acute cerebrovascular insufficiency NOS
3535,G61z.00,Intracerebral haemorrhage NOS,Cerebrovascular disease,1,G61z.,Y00dY,Intracerebral haemorrhage NOS
30045,G616.00,External capsule haemorrhage,Cerebrovascular disease,1,G616.,Y00dZ,External capsule haemorrhage
104638,8IEC.00,Ref multidisciplinary stroke function improvement declined,Cerebrovascular disease,1,XaXlL,YauV4,Ref multidisciplinary stroke function improvement declined
225202,Gyu6700,[X]Other specified cerebrovascular diseases,Cerebrovascular disease,1,Gyu67,YMAI2,[X]Other specified cerebrovascular diseases
2654,7A20400,Endarterectomy of carotid artery NEC,Cerebrovascular disease,1,7A204,Y03Ln,Endarterectomy of carotid artery NEC
41577,1477,H/O: cerebrovascular disease,Cerebrovascular disease,1,XaBL0,Yaael,H/O: cerebrovascular disease
105738,G657.00,Carotid territory transient ischaemic attack,Cerebrovascular disease,1,X00DU,Y00dw,Carotid territory transient ischaemic attack
53745,Gyu6400,[X]Other cerebral infarction,Cerebrovascular disease,1,Gyu64,YMAHz,[X]Other cerebral infarction
94482,Gyu6G00,[X]Cereb infarct due unsp occlus/stenos precerebr arteries,Cerebrovascular disease,1,Gyu6G,YMAIB,[X]Cereb infarct due unsp occlus/stenos precerebr arteries
10794,G656.00,Vertebrobasilar insufficiency,Cerebrovascular disease,1,X00DW,Y00e5,Vertebrobasilar insufficiency
36717,G640000,Cerebral infarction due to thrombosis of cerebral arteries,Cerebrovascular disease,1,G6400,YMAiF,Cerebral infarction due to thrombosis of cerebral arteries
19354,G65y.00,Other transient cerebral ischaemia,Cerebrovascular disease,1,G65y.,Y00dv,Other transient cerebral ischaemia
40847,G632.00,Vertebral artery occlusion,Cerebrovascular disease,1,G632.,Y20FT,Vertebral artery occlusion
107886,662e.11,Stroke annual review,Cerebrovascular disease,1,XaIzF,YausH,Stroke annual review
11039,9h21.00,Excepted from stroke quality indicators: Patient unsuitable,Cerebrovascular disease,1,XaJ4b,Yam0h,Excepted from stroke quality indicators: Patient unsuitable
4240,G631.00,Carotid artery occlusion,Cerebrovascular disease,1,XE0VH,Y20FS,Carotid artery occlusion
10962,9h2..00,Exception reporting: stroke quality indicators,Cerebrovascular disease,1,XaJ4O,Yam0H,Exception reporting: stroke quality indicators
105100,662M100,Stroke 6 month review,Cerebrovascular disease,1,XaR68,YausG,Stroke 6 month review
65770,G677200,Occlusion and stenosis of posterior cerebral artery,Cerebrovascular disease,1,G6772,YMAjc,Occlusion and stenosis of posterior cerebral artery
31704,G677.00,Occlusion/stenosis cerebral arts not result cerebral infarct,Cerebrovascular disease,1,G677.,YMAjZ,Occlusion/stenosis cerebral arts not result cerebral infarct
33377,G651.00,Vertebral artery syndrome,Cerebrovascular disease,1,G651.,Y00e2,Vertebral artery syndrome
24035,E031400,"Subacute confusional state, of cerebrovascular origin",Cerebrovascular disease,1,E0314,Y017c,"Subacute confusional state, of cerebrovascular origin"
28753,9Om0.00,Stroke/transient ischaemic attack monitoring first letter,Cerebrovascular disease,1,XaJuU,Yan2x,Stroke/transient ischaemic attack monitoring first letter
28914,662o.00,Haemorrhagic stroke monitoring,Cerebrovascular disease,1,XaKSH,Yanj5,Haemorrhagic stroke monitoring
1786,G60..00,Subarachnoid haemorrhage,Cerebrovascular disease,1,Xa1uW,YM0jH,Subarachnoid haemorrhage
41910,G605.00,Subarachnoid haemorrhage from basilar artery,Cerebrovascular disease,1,G605.,00H13,Subarachnoid haemorrhage from basilar artery
105520,8Hd6.00,Admission to stroke unit,Cerebrovascular disease,1,XaAsJ,YaZwJ,Admission to stroke unit
63830,G63..12,Stenosis of precerebral arteries,Cerebrovascular disease,1,X203V,Y20F0,Stenosis of precerebral arteries
92036,Gyu6600,[X]Occlusion and stenosis of other cerebral arteries,Cerebrovascular disease,1,Gyu66,YMAI1,[X]Occlusion and stenosis of other cerebral arteries
67640,L440000,Puerperal cerebrovascular disorder unspecified,Cerebrovascular disease,1,L4400,Y415s,Puerperal cerebrovascular disorder unspecified
16507,G65z100,Intermittent cerebral ischaemia,Cerebrovascular disease,1,G65z1,Y00cZ,Intermittent cerebral ischaemia
51759,G677000,Occlusion and stenosis of middle cerebral artery,Cerebrovascular disease,1,G6770,YMAja,Occlusion and stenosis of middle cerebral artery
272627,S620.00,Closed traumatic subarachnoid haemorrhage,Cerebrovascular disease,1,XE1m3,YA0pa,Closed traumatic subarachnoid haemorrhage
91272,L440300,Puerperal cerebrovascular disorder with antenatal comp,Cerebrovascular disease,1,L4403,Y415p,Puerperal cerebrovascular disorder with antenatal comp
20284,G62z.00,Intracranial haemorrhage NOS,Cerebrovascular disease,1,G62z.,Y00cb,Intracranial haemorrhage NOS
48149,G681.00,Sequelae of intracerebral haemorrhage,Cerebrovascular disease,1,G681.,YMAiJ,Sequelae of intracerebral haemorrhage
97470,L440100,Puerperal cerebrovascular disorder - delivered,Cerebrovascular disease,1,L4401,Y415r,Puerperal cerebrovascular disorder - delivered
50594,G654.00,Multiple and bilateral precerebral artery syndromes,Cerebrovascular disease,1,G654.,YMAiQ,Multiple and bilateral precerebral artery syndromes
96717,S621.00,Open traumatic subarachnoid haemorrhage,Cerebrovascular disease,1,S621.,YA0pj,Open traumatic subarachnoid haemorrhage
60781,P7y0z00,Cerebrovascular system anomaly NOS,Cerebrovascular disease,1,P7y0z,Y20P0,Cerebrovascular system anomaly NOS
19201,G61X100,"Right sided intracerebral haemorrhage, unspecified",Cerebrovascular disease,1,XaBM5,Yaafq,"Right sided intracerebral haemorrhage, unspecified"
107440,G619.00,Lobar cerebral haemorrhage,Cerebrovascular disease,1,X00DM,Y00de,Lobar cerebral haemorrhage
31595,G610.00,Cortical haemorrhage,Cerebrovascular disease,1,G610.,Y00dc,Cortical haemorrhage
235966,S627.00,Traumatic subarachnoid haemorrhage,Cerebrovascular disease,1,XA0BH,YA0pW,Traumatic subarachnoid haemorrhage
57783,Q417000,Intracerebral (nontraumatic) haemorrhage of fet and newborn,Cerebrovascular disease,1,Q4170,YMBAC,Intracerebral (nontraumatic) haemorrhage of fet and newborn
26424,G64z400,Infarction of basal ganglia,Cerebrovascular disease,1,XaJgQ,YamlC,Infarction of basal ganglia
2418,G6...00,Cerebrovascular disease,Cerebrovascular disease,1,G6...,Y00cQ,Cerebrovascular disease
51138,G68W.00,Sequelae/other + unspecified cerebrovascular diseases,Cerebrovascular disease,1,G68W.,00H3D,Sequelae/other + unspecified cerebrovascular diseases
8837,G64..00,Cerebral arterial occlusion,Cerebrovascular disease,1,XE0VI,Y20FP,Cerebral arterial occlusion
15788,G65zz00,Transient cerebral ischaemia NOS,Cerebrovascular disease,1,G65z.,Y00du,Transient cerebral ischaemia NOS
15252,G64z.11,Brainstem infarction NOS,Cerebrovascular disease,1,X00D9,Y00d0,Brainstem infarction NOS
100128,F124.00,Vascular parkinsonism,Cerebrovascular disease,1,X003j,Y00IO,Vascular parkinsonism
18686,662e.00,Stroke/CVA annual review,Cerebrovascular disease,1,662e.,005hr,Stroke/CVA annual review
17322,G664.00,Cerebellar stroke syndrome,Cerebrovascular disease,1,G664.,YMAiC,Cerebellar stroke syndrome
13577,G67..00,Other cerebrovascular disease,Cerebrovascular disease,1,G67..,Y00cY,Other cerebrovascular disease
34117,G67y.00,Other cerebrovascular disease OS,Cerebrovascular disease,1,G67y.,Y00cW,Other cerebrovascular disease OS
42283,S63z.00,Other cerebral haemorrhage following injury NOS,Cerebrovascular disease,1,S63z.,YA0ok,Other cerebral haemorrhage following injury NOS
71274,G677400,Occlusion+stenosis of multiple and bilat cerebral arteries,Cerebrovascular disease,1,G6774,YMAje,Occlusion+stenosis of multiple and bilat cerebral arteries
51326,G63y.00,Other precerebral artery occlusion,Cerebrovascular disease,1,G63y.,Y20FV,Other precerebral artery occlusion
62342,G615.00,Bulbar haemorrhage,Cerebrovascular disease,1,G615.,Y00da,Bulbar haemorrhage
5871,14A7.12,H/O: stroke,Cerebrovascular disease,1,XM1R3,Ya0W5,H/O: stroke
9696,G604.00,Subarachnoid haemorrhage from posterior communicating artery,Cerebrovascular disease,1,G604.,00H12,Subarachnoid haemorrhage from posterior communicating artery
24446,G63y100,Cerebral infarction due to embolism of precerebral arteries,Cerebrovascular disease,1,G63y1,YMAiE,Cerebral infarction due to embolism of precerebral arteries
56007,G601.00,Subarachnoid haemorrhage from carotid siphon and bifurcation,Cerebrovascular disease,1,G601.,YMAiY,Subarachnoid haemorrhage from carotid siphon and bifurcation
71585,G63z.00,Precerebral artery occlusion NOS,Cerebrovascular disease,1,G63z.,Y20FW,Precerebral artery occlusion NOS
60692,G606.00,Subarachnoid haemorrhage from vertebral artery,Cerebrovascular disease,1,G606.,YMAiX,Subarachnoid haemorrhage from vertebral artery
94105,P7y0y00,Other specified cerebrovascular anomaly,Cerebrovascular disease,1,P7y0y,Y20P1,Other specified cerebrovascular anomaly
42331,G603.00,Subarachnoid haemorrhage from anterior communicating artery,Cerebrovascular disease,1,G603.,00H11,Subarachnoid haemorrhage from anterior communicating artery
16517,G640.00,Cerebral thrombosis,Cerebrovascular disease,1,G640.,Y00cj,Cerebral thrombosis
51767,G666.00,Pure sensory lacunar syndrome,Cerebrovascular disease,1,XaQbM,YMAiA,Pure sensory lacunar syndrome
66873,14AK.00,H/O: Stroke in last year,Cerebrovascular disease,1,XaBL3,Yaaeo,H/O: Stroke in last year
23942,G650.00,Basilar artery syndrome,Cerebrovascular disease,1,G650.,Y00e3,Basilar artery syndrome
57527,G677100,Occlusion and stenosis of anterior cerebral artery,Cerebrovascular disease,1,G6771,YMAjb,Occlusion and stenosis of anterior cerebral artery
18912,G623.00,Subdural haemorrhage NOS,Cerebrovascular disease,1,XaKK3,YanZn,Subdural haemorrhage NOS
3149,G64z.00,Cerebral infarction NOS,Cerebrovascular disease,1,XE0VJ,Y00cn,Cerebral infarction NOS
7017,7004300,Evacuation of intracerebral haematoma NEC,Cerebrovascular disease,1,70043,Y00jv,Evacuation of intracerebral haematoma NEC
31060,G61X.00,"Intracerebral haemorrhage in hemisphere, unspecified",Cerebrovascular disease,1,G61X.,00H1K,"Intracerebral haemorrhage in hemisphere, unspecified"
96630,Gyu6F00,"[X]Intracerebral haemorrhage in hemisphere, unspecified",Cerebrovascular disease,1,Gyu6F,YMAIA,"[X]Intracerebral haemorrhage in hemisphere, unspecified"
32447,G630.00,Basilar artery occlusion,Cerebrovascular disease,1,G630.,Y20FR,Basilar artery occlusion
108668,Gyu6000,[X]Subarachnoid haemorrhage from other intracranial arteries,Cerebrovascular disease,1,Gyu60,YMAHv,[X]Subarachnoid haemorrhage from other intracranial arteries
98188,G679.00,Small vessel cerebrovascular disease,Cerebrovascular disease,1,XaQZG,Yat7x,Small vessel cerebrovascular disease
31451,P7y0.00,Cerebrovascular system anomalies,Cerebrovascular disease,1,P7y0.,Y20Oz,Cerebrovascular system anomalies
23580,G60z.00,Subarachnoid haemorrhage NOS,Cerebrovascular disease,1,G60z.,YM0mI,Subarachnoid haemorrhage NOS
23361,G68..00,Late effects of cerebrovascular disease,Cerebrovascular disease,1,G68..,Y00cU,Late effects of cerebrovascular disease
30202,G617.00,"Intracerebral haemorrhage, intraventricular",Cerebrovascular disease,1,G617.,YMAiH,"Intracerebral haemorrhage, intraventricular"
40758,G6W..00,Cereb infarct due unsp occlus/stenos precerebr arteries,Cerebrovascular disease,1,G6W..,00H3F,Cereb infarct due unsp occlus/stenos precerebr arteries
95347,Fyu5700,[X]Other vascular syndroms/brain in cerebrovasculr diseases,Cerebrovascular disease,1,Fyu57,YMADX,[X]Other vascular syndroms/brain in cerebrovasculr diseases
36559,Q200011,Intracerebral haemorrhage in fetus or newborn,Cerebrovascular disease,1,X70Ei,Y715Y,Intracerebral haemorrhage in fetus or newborn
13707,8HBJ.00,Stroke / transient ischaemic attack referral,Cerebrovascular disease,1,XaJkS,Yampd,Stroke / transient ischaemic attack referral
9985,G64z200,Left sided cerebral infarction,Cerebrovascular disease,1,XaBEC,YaaWG,Left sided cerebral infarction
5363,G64..11,CVA - cerebral artery occlusion,Cerebrovascular disease,1,X00D3,Y00co,CVA - cerebral artery occlusion
52246,13YA.00,Stroke group member,Cerebrovascular disease,1,XaJi2,Yammt,Stroke group member
25615,G64z000,Brainstem infarction,Cerebrovascular disease,1,Xa00K,Ya0re,Brainstem infarction
1433,G65..12,Transient ischaemic attack,Cerebrovascular disease,1,XE0VK,Y00dq,Transient ischaemic attack
2652,G634.00,Carotid artery stenosis,Cerebrovascular disease,1,G634.,Y20F1,Carotid artery stenosis
8181,S628.00,Traumatic subdural haemorrhage,Cerebrovascular disease,1,S628.,YMAvr,Traumatic subdural haemorrhage
73901,Gyu6.00,[X]Cerebrovascular diseases,Cerebrovascular disease,1,Gyu6.,00HCl,[X]Cerebrovascular diseases
12413,5C10.00,Carotid artery doppler abnormal,Cerebrovascular disease,1,XaJII,YamGc,Carotid artery doppler abnormal
34245,9Om1.00,Stroke/transient ischaemic attack monitoring second letter,Cerebrovascular disease,1,XaJuX,Yan33,Stroke/transient ischaemic attack monitoring second letter
34758,G641.11,Cerebral embolus,Cerebrovascular disease,1,G641.,Y20G1,Cerebral embolus
10504,G64z300,Right sided cerebral infarction,Cerebrovascular disease,1,XaBED,YaaWH,Right sided cerebral infarction
13564,G613.00,Cerebellar haemorrhage,Cerebrovascular disease,1,G613.,Y00dm,Cerebellar haemorrhage
44765,G653.00,Carotid artery syndrome hemispheric,Cerebrovascular disease,1,G653.,YMAiN,Carotid artery syndrome hemispheric
103318,679J200,Health education - structured patient focused asthma discuss,Chronic pulmonary disease,1,XaRFl,Yatk2,Health education - structured patient focused asthma discuss
6140,H58y400,Squamous metaplasia of lung,Chronic pulmonary disease,1,XaE7v,YaeOK,Squamous metaplasia of lung
53205,H4y2000,Acute drug-induced interstitial lung disorders,Chronic pulmonary disease,1,H4y20,YMAjM,Acute drug-induced interstitial lung disorders
65344,C370000,Cystic fibrosis with no meconium ileus,Chronic pulmonary disease,1,C3700,Y1066,Cystic fibrosis with no meconium ileus
100107,679J000,Health education - asthma self management,Chronic pulmonary disease,1,XaRFj,Yatk0,Health education - asthma self management
12166,H3y..00,Other specified chronic obstructive airways disease,Chronic pulmonary disease,1,H3y..,Y106g,Other specified chronic obstructive airways disease
56652,H356.00,Maple bark strippers' lung,Chronic pulmonary disease,1,H356.,YMK77,Maple bark strippers' lung
41694,H355.00,Mushroom workers' lung,Chronic pulmonary disease,1,H355.,YMK76,Mushroom workers' lung
46977,H35z.00,Allergic alveolitis and pneumonitis NOS,Chronic pulmonary disease,1,H35z.,Y109H,Allergic alveolitis and pneumonitis NOS
49194,H432.00,Berylliosis,Chronic pulmonary disease,1,H432.,Y10Dp,Berylliosis
64721,H464000,Chronic emphysema due to chemical fumes,Chronic pulmonary disease,1,H4640,Y107R,Chronic emphysema due to chemical fumes
100877,38Dd.00,Clinical chronic obstructive pulmonary disease questionnaire,Chronic pulmonary disease,1,XaR6n,YatZy,Clinical chronic obstructive pulmonary disease questionnaire
94946,H592.00,Chronic type 1 respiratory failure,Chronic pulmonary disease,1,XaO5l,YaqtU,Chronic type 1 respiratory failure
19106,66Yd.00,COPD accident and emergency attendance since last visit,Chronic pulmonary disease,1,XaK8R,YanLa,COPD accident and emergency attendance since last visit
70286,H35y200,Fish-meal workers' lung,Chronic pulmonary disease,1,H35y2,YMK7B,Fish-meal workers' lung
31722,H46..00,Respiratory disease due to chemical fumes and vapours,Chronic pulmonary disease,1,H46..,Y10Bb,Respiratory disease due to chemical fumes and vapours
11695,9hA2.00,Excepted from asthma quality indicators: Informed dissent,Chronic pulmonary disease,1,XaJ50,Yam1V,Excepted from asthma quality indicators: Informed dissent
58196,H331100,Intrinsic asthma with status asthmaticus,Chronic pulmonary disease,1,XE0YU,Y108J,Intrinsic asthma with status asthmaticus
104985,9NgP.00,On chronic obstructive pulmonary disease supprtv cre pathway,Chronic pulmonary disease,1,XaZ6U,YavKB,On chronic obstructive pulmonary disease supprtv cre pathway
26501,663s.00,Asthma never causes daytime symptoms,Chronic pulmonary disease,1,XaINa,Yakmc,Asthma never causes daytime symptoms
11387,9OJ2.00,Refuses asthma monitoring,Chronic pulmonary disease,1,9OJ2.,Y7AQL,Refuses asthma monitoring
66223,P840.00,"Congenital cystic lung disease, unspecified",Chronic pulmonary disease,1,P840.,Y7Hw6,"Congenital cystic lung disease, unspecified"
18792,9Oi..00,Chronic obstructive pulmonary disease monitoring admin,Chronic pulmonary disease,1,XaJlS,Yamqb,Chronic obstructive pulmonary disease monitoring admin
103944,178A.00,Asthma trigger - airborne dust,Chronic pulmonary disease,1,XaObi,Yar64,Asthma trigger - airborne dust
11573,H58yz00,Other lung disease NEC NOS,Chronic pulmonary disease,1,H58yz,Y100P,Other lung disease NEC NOS
106805,H335.00,Chronic asthma with fixed airflow obstruction,Chronic pulmonary disease,1,Xaa7B,Yaw0M,Chronic asthma with fixed airflow obstruction
28755,9Oi0.00,Chronic obstructive pulmonary disease monitoring 1st letter,Chronic pulmonary disease,1,XaJlT,Yamqd,Chronic obstructive pulmonary disease monitoring 1st letter
102341,1781,Asthma trigger - pollen,Chronic pulmonary disease,1,XaObk,Yar66,Asthma trigger - pollen
41554,9OJ3.00,Asthma monitor offer default,Chronic pulmonary disease,1,9OJ3.,Y7AQM,Asthma monitor offer default
30382,9OJZ.00,Asthma monitoring admin.NOS,Chronic pulmonary disease,1,9OJZ.,Y7AQV,Asthma monitoring admin.NOS
106650,H583200,Eosinophilic bronchitis,Chronic pulmonary disease,1,Xaa7C,Yaw0N,Eosinophilic bronchitis
23446,H42z.00,Silica pneumoconiosis NOS,Chronic pulmonary disease,1,H42z.,Y10EG,Silica pneumoconiosis NOS
44015,H4y2.00,Drug-induced interstitial lung disorders,Chronic pulmonary disease,1,H4y2.,YMAjL,Drug-induced interstitial lung disorders
11101,H060500,Acute tracheobronchitis,Chronic pulmonary disease,1,H0605,Y100t,Acute tracheobronchitis
45427,H35y500,Pituitary snuff-takers' disease,Chronic pulmonary disease,1,H35y5,YMK7E,Pituitary snuff-takers' disease
11287,66YM.00,Chronic obstructive pulmonary disease annual review,Chronic pulmonary disease,1,XaIet,Yal9s,Chronic obstructive pulmonary disease annual review
107167,66Yu.00,Number days absent from school due to asthma in past 6 month,Chronic pulmonary disease,1,XaYZh,Yauto,Number days absent from school due to asthma in past 6 month
5798,H312000,Chronic asthmatic bronchitis,Chronic pulmonary disease,1,H3120,Y108g,Chronic asthmatic bronchitis
308638,h33z100,Asthma attack,Chronic pulmonary disease,1,XE0YW,YM1gM,Asthma attack
10802,H37..00,Moderate chronic obstructive pulmonary disease,Chronic pulmonary disease,1,XaEIW,Yaeaz,Moderate chronic obstructive pulmonary disease
24248,H313.00,Mixed simple and mucopurulent chronic bronchitis,Chronic pulmonary disease,1,H313.,YMAj4,Mixed simple and mucopurulent chronic bronchitis
59587,H501600,Pyothorax,Chronic pulmonary disease,1,H5016,00HOz,Pyothorax
103758,8Hkw.00,Referral to COPD community nursing team,Chronic pulmonary disease,1,XaY0w,YaudK,Referral to COPD community nursing team
60805,H420.00,Talc pneumoconiosis,Chronic pulmonary disease,1,H420.,Y10EN,Talc pneumoconiosis
18717,9h5..00,Exception reporting: COPD quality indicators,Chronic pulmonary disease,1,XaJ4R,Yam0N,Exception reporting: COPD quality indicators
22835,H564.00,Bronchiolitis obliterans organising pneumonia,Chronic pulmonary disease,1,H564.,00HQH,Bronchiolitis obliterans organising pneumonia
45998,66YT.00,Chronic obstructive pulmonary disease monitoring by doctor,Chronic pulmonary disease,1,XaIu8,YaleN,Chronic obstructive pulmonary disease monitoring by doctor
26018,66YS.00,Chronic obstructive pulmonary disease monitoring by nurse,Chronic pulmonary disease,1,XaIu7,YaleL,Chronic obstructive pulmonary disease monitoring by nurse
103864,9kf0.11,COPD patient unsuitable for pulmonary rehabilitation,Chronic pulmonary disease,1,XaPZH,YasIt,COPD patient unsuitable for pulmonary rehabilitation
152,H302.00,Wheezy bronchitis,Chronic pulmonary disease,1,H302.,00HLS,Wheezy bronchitis
